Car,Model,Volume,Weight,HP,CO2
Toyoty,Aygo,1000,790,120,99
Mitsubishi,Space Star,1200,1160,105,95
Skoda,Citigo,1000,929,110,95
Fiat,500,900,865,124,90
Mini,Cooper,1500,1140,146,105
VW,Up!,1000,929,173,105
Skoda,Fabia,1400,1109,198,90
Mercedes,A-Class,1500,1365,200,92
Ford,Fiesta,1500,1112,209,98
Audi,A1,1600,1150,146,99
Hyundai,I20,1100,980,139,99
Suzuki,Swift,1300,990,225,101
Ford,Fiesta,1000,1112,245,99
Honda,Civic,1600,1252,163,94
Hundai,I30,1600,1326,136,97
Opel,Astra,1600,1330,251,97
BMW,1,1600,1365,217,99
Mazda,3,2200,1280,189,104
Skoda,Rapid,1600,1119,138,104
Ford,Focus,2000,1328,224,105
Ford,Mondeo,1600,1584,291,94
Opel,Insignia,2000,1428,249,99
Mercedes,C-Class,2100,1365,171,99
Skoda,Octavia,1600,1415,138,99
Volvo,S60,2000,1415,254,99
Mercedes,CLA,1500,1465,227,102
Audi,A4,2000,1490,238,104
Audi,A6,2000,1725,164,114
Volvo,V70,1600,1523,119,109
BMW,5,2000,1705,261,114
Mercedes,E-Class,2100,1605,226,115
Volvo,XC70,2000,1746,199,117
Ford,B-Max,1600,1235,155,104
BMW,216,1600,1390,271,108
Opel,Zafira,1600,1405,238,109
Mercedes,SLK,2500,1395,139,120
Pejot,405,1400,1100,110,107
